;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow;L1_White;L1_Blue;L1_Skin;L1_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34;09:59:28;10:00:28;10:00:42;10:00:59
319;-4,25367E-05;3,25130E-05;-5,74370E-06;-4,76947E-05;1,18214E-04;8,76113E-06;2,27392E-05;-1,16837E-05;-1,39026E-04;1,25547E-05;-1,03986E-05;2,98958E-05
320;-7,47534E-05;2,65324E-05;-1,24787E-05;-8,69614E-06;-4,31144E-05;9,13812E-06;-1,01598E-05;-3,12476E-05;3,49720E-05;6,37128E-06;-5,33637E-06;1,62180E-05
321;8,68974E-05;7,34662E-05;-8,88781E-05;-2,89705E-04;4,85025E-05;-4,84345E-06;-1,22815E-05;1,80247E-05;6,03259E-05;-1,79927E-05;1,32077E-05;-3,18431E-05
322;1,46488E-05;-7,66731E-05;3,60971E-05;-2,01291E-04;1,67268E-04;4,08376E-05;-3,18203E-05;-1,10525E-05;1,04819E-04;2,64150E-05;1,59263E-05;-5,73704E-05
323;4,46606E-05;1,22586E-05;1,68676E-05;1,49165E-05;-1,28616E-05;2,72498E-05;2,06209E-05;3,00684E-05;-2,68627E-04;3,01661E-06;5,38594E-05;-2,27916E-05
324;1,85844E-04;2,83136E-05;6,36949E-05;4,04027E-05;5,07579E-06;1,39876E-05;4,27145E-06;-5,95969E-05;2,35959E-05;-1,08975E-05;6,26573E-06;-1,55970E-05
325;-4,95566E-05;-2,16161E-05;-7,43817E-05;-9,27360E-05;1,42450E-04;2,17961E-05;7,73550E-06;6,27484E-06;-1,04076E-04;1,08107E-05;-5,33991E-05;-3,31918E-05
326;-8,17535E-05;-2,45285E-05;7,03442E-05;4,56301E-05;1,08036E-04;9,62211E-06;5,80384E-06;4,41941E-06;-1,00275E-04;1,02407E-05;-4,44703E-05;6,67651E-05
327;2,61635E-05;3,83299E-06;-5,60618E-05;-1,64772E-04;5,53932E-05;1,26950E-05;2,48297E-06;-4,18561E-05;-3,32267E-05;-8,48304E-06;-3,74985E-07;3,15252E-05
328;1,87983E-05;2,70990E-05;6,85061E-06;3,39595E-05;-3,06321E-05;6,02289E-06;-2,81910E-05;4,70519E-05;-3,32288E-05;7,64143E-06;-3,38095E-05;-6,60914E-06
329;-7,97200E-05;2,00253E-05;-5,26441E-06;9,25200E-06;1,28398E-04;2,33290E-05;1,72324E-05;8,46449E-06;7,91856E-05;7,60120E-06;-1,52778E-05;1,50403E-05
330;-7,70792E-05;7,49307E-05;4,44738E-05;-4,64230E-05;1,45832E-04;2,32581E-05;-5,42419E-05;7,24856E-05;3,16926E-05;6,00009E-06;6,13817E-05;-1,86139E-05
331;2,44117E-04;3,28924E-05;-1,04894E-05;2,12843E-04;1,83854E-05;3,09524E-05;1,79705E-05;-7,87281E-05;3,66170E-05;-7,48811E-06;-3,10282E-05;7,18600E-05
332;6,90244E-05;6,00593E-05;1,12557E-06;-1,22411E-04;-8,24429E-05;3,27190E-05;2,18883E-05;4,86574E-06;-4,39348E-05;4,95006E-06;5,76559E-05;2,52095E-06
333;-1,24385E-04;1,88238E-05;1,25017E-04;-8,80420E-05;-1,92572E-05;3,77892E-05;2,97570E-05;-1,54523E-05;2,04651E-04;3,10386E-05;6,25644E-05;5,71414E-05
334;-4,10106E-06;4,33955E-07;-3,91879E-05;1,50151E-04;-1,03906E-05;1,29199E-05;3,85238E-05;-2,92601E-06;3,46026E-05;1,78207E-05;-4,98725E-05;-3,83949E-05
335;8,82443E-05;-5,90222E-05;-6,17675E-05;-3,79571E-05;-3,27610E-05;6,02974E-06;5,13051E-05;3,57955E-05;-4,83431E-05;2,06318E-06;3,19510E-07;4,93124E-05
336;6,78508E-05;7,95133E-05;9,11000E-05;2,19037E-04;1,17340E-04;3,41310E-05;-2,62089E-05;3,11269E-05;9,62681E-05;-9,64606E-06;-1,84915E-05;-4,20737E-05
337;1,70397E-04;6,31432E-05;2,39474E-05;6,66814E-05;9,40273E-07;1,25603E-05;8,40710E-06;6,91981E-05;-5,88303E-05;1,06428E-05;2,82958E-07;2,56848E-05
338;7,11698E-05;1,02169E-05;-1,54012E-05;5,95171E-05;1,01839E-04;5,03505E-06;2,06472E-05;2,70268E-05;-4,91082E-05;5,63141E-06;3,17969E-05;-3,03155E-05
339;9,39182E-05;3,38784E-05;4,65783E-05;-1,78074E-05;1,69198E-05;-1,36995E-05;-2,44605E-05;2,84760E-05;-2,87029E-05;-6,47503E-06;5,02691E-05;-3,33577E-05
340;2,35046E-05;4,77962E-06;-8,50932E-05;-1,86727E-05;9,32769E-05;-2,17750E-07;-3,82601E-05;-6,21476E-05;-1,12971E-04;3,18754E-06;3,32106E-05;-1,86034E-06
341;2,53896E-04;-5,31329E-05;2,50761E-05;-1,00912E-04;-6,22955E-05;1,05590E-05;-6,63193E-06;4,72032E-05;1,45481E-04;1,04915E-05;1,44693E-05;-4,81508E-05
342;2,16924E-04;-3,81990E-06;1,51135E-05;2,42328E-04;1,87714E-05;3,21274E-05;-3,68763E-06;4,32777E-05;1,29488E-04;2,49171E-05;2,76426E-05;-2,11725E-05
343;1,80067E-04;-2,90585E-06;-6,10041E-06;-2,18823E-05;1,17389E-04;-4,65956E-06;8,98531E-06;-2,91584E-05;-4,95020E-05;1,46262E-05;-4,10947E-06;1,74130E-05
344;1,16428E-04;2,42008E-05;9,33258E-06;1,49147E-04;1,24576E-05;-8,37624E-06;1,47921E-05;3,70016E-05;1,94056E-04;-8,18106E-06;-1,66504E-05;-1,21172E-05
345;2,23814E-04;8,13913E-05;2,40465E-05;2,16530E-04;1,47567E-04;4,17437E-05;-1,75349E-06;2,59101E-05;2,41304E-05;3,16444E-05;3,54464E-05;-4,85356E-05
346;2,10648E-04;3,16280E-06;6,76856E-05;2,20192E-04;3,05380E-05;2,25492E-06;4,61557E-05;-3,06508E-05;-1,91896E-05;1,99288E-05;7,78505E-05;3,39282E-05
347;2,04736E-04;7,30087E-05;6,99209E-05;-6,25123E-05;9,96694E-05;-1,23585E-05;-3,10365E-06;5,99432E-05;-1,05041E-04;8,40462E-06;5,95939E-06;2,90392E-05
348;2,61015E-04;3,11710E-05;3,53662E-05;-1,70919E-04;-9,50686E-05;1,80381E-05;3,44818E-05;-1,04571E-06;-8,96217E-05;-1,24837E-05;-1,30381E-05;-9,61851E-06
349;9,66529E-05;4,61796E-05;9,76222E-05;9,51390E-05;1,83511E-04;1,38916E-05;2,09487E-05;1,89352E-06;-1,95886E-05;2,05735E-05;2,73516E-05;2,57964E-05
350;8,79655E-05;2,82527E-05;6,70334E-06;-1,97329E-05;-1,00796E-04;4,72526E-05;-4,83410E-05;-1,06371E-05;1,39825E-04;1,61263E-06;4,85757E-06;5,27756E-05
351;3,31783E-04;1,31641E-05;4,93918E-05;-1,00921E-04;2,15287E-04;-3,83375E-06;1,91816E-05;3,16555E-05;1,68122E-04;1,64697E-05;1,42698E-05;8,01343E-05
352;2,40343E-04;8,16035E-05;4,10030E-06;-7,59643E-05;4,04396E-05;1,82635E-05;-2,63800E-05;2,03411E-05;1,16579E-04;-9,75295E-06;-9,86160E-06;1,04355E-04
353;2,90289E-04;1,22977E-06;9,47148E-05;1,55025E-06;1,28643E-04;1,40623E-05;1,26034E-05;2,50269E-05;5,76580E-05;1,08707E-05;-3,51021E-05;7,25652E-05
354;2,54226E-04;-1,20624E-05;1,26435E-05;-8,79598E-05;-2,53007E-05;2,31515E-05;1,40411E-05;-3,07347E-05;-9,11394E-05;-1,68743E-05;-6,01809E-05;-1,46175E-05
355;8,25421E-05;7,17441E-05;6,60732E-05;-4,82204E-05;-4,57388E-05;2,46212E-05;-3,76073E-05;7,76351E-05;6,00810E-05;-2,15296E-05;4,33182E-05;4,20128E-05
356;2,74162E-04;-2,22896E-05;-3,10053E-06;1,16961E-04;7,41652E-05;-3,33881E-06;1,28627E-05;-4,70501E-05;-2,01754E-04;-1,48823E-05;3,72636E-05;-8,59900E-06
357;4,32056E-04;4,16468E-05;2,44956E-05;-8,73420E-05;-1,59710E-05;3,68863E-05;-1,27834E-06;-1,46816E-05;5,44660E-05;6,86761E-06;1,97013E-05;3,16732E-05
358;1,72640E-04;3,26938E-05;-2,33687E-05;1,36543E-04;1,11944E-05;2,98110E-05;8,27046E-06;-1,99430E-05;3,13192E-05;1,00893E-05;1,81653E-05;-1,17725E-05
359;5,79598E-05;6,41212E-05;6,37264E-05;-8,67432E-05;-3,47046E-05;1,00833E-05;1,64049E-05;-2,83178E-06;-3,80525E-06;-1,98076E-05;-2,75235E-05;-4,63461E-05
360;2,24928E-04;4,71424E-05;-2,96042E-06;3,13772E-05;5,74630E-05;3,11215E-05;1,58185E-05;-1,07532E-05;-1,09847E-04;-2,92360E-06;3,04501E-05;-5,02368E-05
361;1,32296E-04;6,18471E-05;-4,66174E-05;1,03041E-04;-2,36005E-05;-7,01905E-06;1,68482E-05;-2,76161E-05;5,19106E-05;-3,44951E-07;1,86255E-05;-1,01240E-04
362;2,37958E-04;6,24357E-05;1,07764E-04;1,04825E-04;-3,37644E-05;-1,76605E-06;7,04188E-06;4,12385E-05;-1,68251E-04;-2,01527E-05;-2,41603E-05;-3,05405E-05
363;1,31777E-04;7,40011E-05;1,87221E-05;1,72675E-04;1,36687E-04;1,22838E-05;1,72889E-05;4,22821E-05;1,17281E-05;3,78963E-06;-4,47074E-05;6,18402E-05
364;-2,85735E-05;8,09378E-05;1,32926E-06;-7,29118E-06;9,74090E-05;3,70564E-05;-9,61459E-06;5,79347E-07;-3,71824E-05;-1,60041E-05;2,59386E-05;4,89438E-05
365;2,64831E-04;3,91362E-05;-1,41076E-05;-9,59448E-05;-9,39421E-05;2,94834E-05;2,36123E-05;1,04115E-04;4,41255E-05;2,95081E-05;8,10947E-05;-3,06732E-05
366;2,02641E-04;3,94613E-05;2,44069E-05;3,47031E-05;2,00252E-05;1,85053E-05;1,83429E-05;3,30310E-05;4,42868E-05;-2,37664E-05;1,12848E-05;8,67497E-05
367;4,79395E-04;4,40345E-05;3,16226E-06;-3,82711E-05;1,04309E-04;2,16900E-05;4,16698E-05;-4,69766E-05;-1,15431E-04;-2,05713E-05;-3,47022E-05;-1,45383E-06
368;1,45236E-04;5,59538E-05;9,62386E-05;-4,28633E-05;-1,04435E-04;1,97365E-05;1,37523E-06;2,96578E-05;-6,09155E-05;6,66921E-06;3,14810E-05;-2,74038E-05
369;4,82666E-04;5,31212E-05;2,68179E-05;-2,00695E-05;2,59025E-04;3,87004E-05;-2,07302E-06;4,22138E-06;-3,73051E-05;1,90997E-05;3,92275E-05;-9,69756E-05
370;7,25106E-04;5,81608E-05;3,71474E-05;-5,99387E-05;1,58810E-04;1,99314E-05;4,26498E-05;4,68291E-05;-1,39619E-05;1,73309E-05;-1,08172E-05;1,52395E-05
371;8,64998E-04;8,06214E-05;1,40073E-04;-1,54881E-04;2,55659E-04;5,84889E-05;1,08774E-05;-5,96406E-05;8,48574E-06;-8,34164E-06;1,47348E-05;6,60294E-05
372;8,78588E-04;1,13421E-04;1,59037E-05;1,56682E-05;3,91734E-04;4,15947E-05;4,72235E-05;8,97174E-06;1,71250E-04;2,62380E-05;-1,46274E-05;4,52575E-06
373;1,21883E-03;8,28683E-05;1,08344E-04;1,10164E-04;3,90928E-04;3,50439E-05;-4,18334E-07;-2,61948E-05;1,32412E-04;2,02380E-05;2,52445E-05;1,44048E-05
374;1,85604E-03;1,42619E-04;1,10411E-04;5,69911E-05;4,72842E-04;2,06751E-05;4,53528E-05;-3,32145E-05;9,75182E-06;2,19493E-05;-3,39022E-05;3,03064E-05
