;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow;L1_White;L1_Blue;L1_Skin;L1_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
Time;09:23:14;09:25:54;09:31:56;09:34:22;09:45:08;09:47:48;09:49:18;09:49:34;09:59:28;10:00:28;10:00:42;10:00:59
531;8,83059E-02;8,71053E-03;1,82253E-02;4,90083E-02;4,80397E-02;3,82961E-03;7,78711E-03;2,14062E-02;3,17986E-02;2,40441E-03;5,08507E-03;1,46249E-02
532;8,80569E-02;8,77323E-03;1,79920E-02;4,89878E-02;4,78842E-02;3,85451E-03;7,76650E-03;2,15951E-02;3,14483E-02;2,37156E-03;4,91117E-03;1,46054E-02
533;8,71140E-02;8,65543E-03;1,76756E-02;4,97517E-02;4,81826E-02;3,75541E-03;7,67170E-03;2,20602E-02;3,07532E-02;2,29058E-03;4,80137E-03;1,42835E-02
534;8,76472E-02;8,53440E-03;1,72862E-02;4,99197E-02;4,82379E-02;3,72986E-03;7,66813E-03;2,23838E-02;2,99777E-02;2,17414E-03;4,55885E-03;1,42883E-02
535;8,65026E-02;8,29458E-03;1,70670E-02;5,01033E-02;4,78169E-02;3,69345E-03;7,60769E-03;2,23832E-02;2,91584E-02;2,16460E-03;4,42040E-03;1,37127E-02
536;8,56879E-02;8,22543E-03;1,71603E-02;5,01777E-02;4,81059E-02;3,61354E-03;7,59189E-03;2,25245E-02;2,80250E-02;2,01556E-03;4,27946E-03;1,33191E-02
537;8,56473E-02;8,08642E-03;1,69938E-02;5,06735E-02;4,77775E-02;3,62143E-03;7,54290E-03;2,26805E-02;2,71006E-02;1,89472E-03;4,05313E-03;1,30080E-02
538;8,47680E-02;7,99187E-03;1,67401E-02;5,02658E-02;4,80478E-02;3,58647E-03;7,47654E-03;2,25425E-02;2,63861E-02;1,81859E-03;3,88655E-03;1,26460E-02
539;8,47016E-02;8,00125E-03;1,64745E-02;5,04979E-02;4,75201E-02;3,54881E-03;7,47030E-03;2,29180E-02;2,47623E-02;1,75786E-03;3,75515E-03;1,20051E-02
540;8,37184E-02;7,88825E-03;1,64838E-02;5,01271E-02;4,75457E-02;3,50285E-03;7,45383E-03;2,29345E-02;2,35108E-02;1,62363E-03;3,53524E-03;1,15185E-02
541;8,32454E-02;7,62938E-03;1,64361E-02;5,02320E-02;4,70966E-02;3,46395E-03;7,46136E-03;2,28250E-02;2,23557E-02;1,55195E-03;3,37998E-03;1,10535E-02
542;8,28730E-02;7,55081E-03;1,63547E-02;5,00982E-02;4,66644E-02;3,43257E-03;7,31926E-03;2,30062E-02;2,12731E-02;1,46384E-03;3,21733E-03;1,07268E-02
543;8,29271E-02;7,58082E-03;1,64819E-02;4,97544E-02;4,66231E-02;3,40058E-03;7,44603E-03;2,30475E-02;2,04280E-02;1,41602E-03;2,98290E-03;1,00569E-02
544;8,16784E-02;7,35372E-03;1,63166E-02;5,01756E-02;4,64527E-02;3,31378E-03;7,36981E-03;2,31343E-02;1,91809E-02;1,27185E-03;2,92432E-03;9,72318E-03
545;8,16537E-02;7,27879E-03;1,63711E-02;5,00306E-02;4,62157E-02;3,36560E-03;7,33277E-03;2,31743E-02;1,84950E-02;1,23825E-03;2,73506E-03;9,25463E-03
546;8,07735E-02;7,19970E-03;1,62819E-02;4,96251E-02;4,62656E-02;3,30500E-03;7,36396E-03;2,29871E-02;1,72046E-02;1,13006E-03;2,62243E-03;8,77493E-03
547;8,02594E-02;7,10874E-03;1,60394E-02;5,00513E-02;4,61265E-02;3,27549E-03;7,36963E-03;2,29930E-02;1,60548E-02;1,10405E-03;2,51628E-03;8,27898E-03
548;8,01199E-02;7,10407E-03;1,63184E-02;5,01048E-02;4,63607E-02;3,24609E-03;7,41749E-03;2,32997E-02;1,54792E-02;1,02211E-03;2,37429E-03;7,99772E-03
549;7,93473E-02;6,92809E-03;1,63167E-02;5,02071E-02;4,54986E-02;3,24177E-03;7,44483E-03;2,28861E-02;1,45492E-02;9,81908E-04;2,27557E-03;7,50031E-03
550;7,91281E-02;6,92157E-03;1,63991E-02;5,00696E-02;4,54395E-02;3,19703E-03;7,47235E-03;2,31848E-02;1,39168E-02;8,92395E-04;2,14350E-03;7,10077E-03
551;7,97484E-02;6,94405E-03;1,62152E-02;4,97144E-02;4,53324E-02;3,17663E-03;7,47170E-03;2,31470E-02;1,30624E-02;8,62278E-04;2,04987E-03;6,75164E-03
552;7,88763E-02;6,86174E-03;1,63203E-02;4,97357E-02;4,47402E-02;3,17904E-03;7,49947E-03;2,31817E-02;1,23523E-02;8,09264E-04;1,89958E-03;6,39647E-03
553;7,85837E-02;6,83170E-03;1,63984E-02;4,99739E-02;4,46587E-02;3,10203E-03;7,45225E-03;2,32964E-02;1,16335E-02;7,51488E-04;1,81298E-03;6,10009E-03
554;7,85504E-02;6,69387E-03;1,64598E-02;5,00904E-02;4,48523E-02;3,06202E-03;7,45871E-03;2,32506E-02;1,10122E-02;7,13302E-04;1,71404E-03;5,77265E-03
555;7,77539E-02;6,76125E-03;1,62263E-02;4,99208E-02;4,48429E-02;3,03591E-03;7,52273E-03;2,31868E-02;1,05099E-02;6,62879E-04;1,62273E-03;5,46988E-03
556;7,75745E-02;6,60499E-03;1,62034E-02;4,94191E-02;4,43818E-02;3,05764E-03;7,42011E-03;2,31567E-02;9,84667E-03;6,14278E-04;1,53635E-03;5,10850E-03
557;7,71404E-02;6,49104E-03;1,62736E-02;4,95831E-02;4,47089E-02;2,99932E-03;7,36679E-03;2,31420E-02;9,28643E-03;5,75673E-04;1,43152E-03;4,88015E-03
558;7,71390E-02;6,42799E-03;1,60536E-02;5,02220E-02;4,38571E-02;2,96183E-03;7,37784E-03;2,32313E-02;8,78767E-03;5,45267E-04;1,40157E-03;4,60847E-03
559;7,67046E-02;6,42580E-03;1,58288E-02;4,97789E-02;4,41584E-02;3,00215E-03;7,31177E-03;2,33636E-02;8,24633E-03;5,25152E-04;1,32340E-03;4,40866E-03
560;7,68039E-02;6,34915E-03;1,60184E-02;4,98479E-02;4,41222E-02;2,97949E-03;7,45283E-03;2,33987E-02;7,82522E-03;4,88978E-04;1,23366E-03;4,23478E-03
561;7,66846E-02;6,40273E-03;1,59960E-02;4,98425E-02;4,44149E-02;2,96807E-03;7,36024E-03;2,34164E-02;7,43776E-03;4,60988E-04;1,18875E-03;4,11747E-03
562;7,69335E-02;6,28320E-03;1,57433E-02;5,00305E-02;4,38204E-02;2,93106E-03;7,26088E-03;2,34299E-02;7,32752E-03;4,68360E-04;1,10378E-03;3,93184E-03
563;7,70980E-02;6,28124E-03;1,57935E-02;4,96269E-02;4,42676E-02;2,94274E-03;7,28818E-03;2,35426E-02;7,03248E-03;4,44617E-04;1,13891E-03;3,70778E-03
564;7,73144E-02;6,15130E-03;1,57036E-02;5,04036E-02;4,39606E-02;2,95675E-03;7,25149E-03;2,36586E-02;6,74370E-03;4,20983E-04;1,06793E-03;3,65483E-03
565;7,68783E-02;6,27658E-03;1,57654E-02;5,02388E-02;4,39478E-02;2,92615E-03;7,29224E-03;2,36596E-02;6,49024E-03;4,18735E-04;1,03026E-03;3,62767E-03
566;7,70658E-02;6,18976E-03;1,58308E-02;5,02272E-02;4,39454E-02;2,89198E-03;7,38282E-03;2,38167E-02;6,47745E-03;4,19191E-04;1,04533E-03;3,60883E-03
567;7,64498E-02;6,25352E-03;1,60117E-02;5,03631E-02;4,39379E-02;2,88868E-03;7,31104E-03;2,39463E-02;6,47164E-03;4,07395E-04;9,97594E-04;3,54115E-03
568;7,75421E-02;6,18034E-03;1,60657E-02;5,05531E-02;4,37045E-02;2,86444E-03;7,39266E-03;2,39058E-02;6,43016E-03;4,03652E-04;1,02700E-03;3,56838E-03
569;7,68397E-02;6,21834E-03;1,61532E-02;5,11021E-02;4,42110E-02;2,87622E-03;7,43343E-03;2,40367E-02;6,40298E-03;4,21080E-04;1,08598E-03;3,54868E-03
570;7,73766E-02;6,19397E-03;1,63086E-02;5,10745E-02;4,44070E-02;2,88880E-03;7,59261E-03;2,41300E-02;6,41202E-03;4,35497E-04;1,12022E-03;3,65450E-03
571;7,81986E-02;6,20602E-03;1,64109E-02;5,15370E-02;4,45248E-02;2,88571E-03;7,74156E-03;2,42660E-02;6,73161E-03;4,56032E-04;1,22350E-03;3,77337E-03
572;7,72960E-02;6,24047E-03;1,68076E-02;5,19382E-02;4,42361E-02;2,85502E-03;7,83552E-03;2,44368E-02;6,93581E-03;4,62076E-04;1,28498E-03;4,05824E-03
573;7,80426E-02;6,20550E-03;1,71789E-02;5,19823E-02;4,51200E-02;2,91275E-03;7,90291E-03;2,45121E-02;7,22506E-03;5,00496E-04;1,35687E-03;4,17425E-03
574;7,86270E-02;6,25531E-03;1,74218E-02;5,24768E-02;4,46917E-02;2,88528E-03;8,10143E-03;2,48584E-02;7,72811E-03;5,25267E-04;1,49212E-03;4,42351E-03
575;7,89646E-02;6,30002E-03;1,79312E-02;5,29200E-02;4,48237E-02;2,89576E-03;8,23676E-03;2,48904E-02;8,18071E-03;5,72737E-04;1,65855E-03;4,81133E-03
576;7,93115E-02;6,25144E-03;1,82836E-02;5,31739E-02;4,57545E-02;2,91733E-03;8,45824E-03;2,55011E-02;8,73200E-03;6,10734E-04;1,80818E-03;5,20093E-03
577;8,07441E-02;6,41281E-03;1,88761E-02;5,39728E-02;4,60515E-02;2,98685E-03;8,71729E-03;2,53581E-02;9,52913E-03;6,47752E-04;2,00641E-03;5,70573E-03
578;8,13938E-02;6,50803E-03;1,94697E-02;5,45056E-02;4,63307E-02;3,00119E-03;8,83402E-03;2,58092E-02;1,05873E-02;7,46897E-04;2,19635E-03;6,18608E-03
579;8,21515E-02;6,51482E-03;1,97969E-02;5,50730E-02;4,66100E-02;3,00421E-03;9,25038E-03;2,59525E-02;1,15137E-02;8,03010E-04;2,58524E-03;6,73792E-03
580;8,27909E-02;6,55825E-03;2,05648E-02;5,61651E-02;4,70026E-02;3,08760E-03;9,61080E-03;2,63903E-02;1,26012E-02;8,82045E-04;2,89990E-03;7,38540E-03
581;8,38042E-02;6,64360E-03;2,14668E-02;5,66307E-02;4,73534E-02;3,11313E-03;9,98289E-03;2,67345E-02;1,34455E-02;1,00462E-03;3,27568E-03;8,31561E-03
582;8,50335E-02;6,79211E-03;2,22581E-02;5,76147E-02;4,82004E-02;3,17452E-03;1,02287E-02;2,69971E-02;1,54473E-02;1,09314E-03;3,64549E-03;9,15505E-03
583;8,63613E-02;6,84001E-03;2,30157E-02;5,86900E-02;4,88248E-02;3,21113E-03;1,07266E-02;2,77380E-02;1,67016E-02;1,19938E-03;4,09599E-03;1,00678E-02
584;8,74280E-02;7,00382E-03;2,42144E-02;5,90957E-02;4,93765E-02;3,26168E-03;1,11524E-02;2,80595E-02;1,88398E-02;1,34477E-03;4,71453E-03;1,11358E-02
585;8,93161E-02;7,12119E-03;2,49728E-02;6,01513E-02;4,99456E-02;3,35405E-03;1,15164E-02;2,84199E-02;2,06986E-02;1,48260E-03;5,34681E-03;1,23719E-02
586;9,07373E-02;7,28552E-03;2,56702E-02;6,09482E-02;5,10708E-02;3,32841E-03;1,19499E-02;2,91403E-02;2,23639E-02;1,62185E-03;5,99785E-03;1,37608E-02
587;9,18801E-02;7,37820E-03;2,73538E-02;6,28444E-02;5,22643E-02;3,44627E-03;1,25965E-02;2,95661E-02;2,49807E-02;1,80861E-03;6,81161E-03;1,48454E-02
588;9,33241E-02;7,54477E-03;2,80103E-02;6,35897E-02;5,24220E-02;3,54007E-03;1,30383E-02;3,01209E-02;2,67915E-02;1,92402E-03;7,41538E-03;1,63427E-02
589;9,49301E-02;7,65231E-03;2,90398E-02;6,46407E-02;5,32190E-02;3,55630E-03;1,35022E-02;3,06050E-02;2,83104E-02;2,06340E-03;8,14167E-03;1,73683E-02
590;9,64341E-02;7,77064E-03;3,03495E-02;6,58134E-02;5,41321E-02;3,59936E-03;1,38636E-02;3,11936E-02;3,05841E-02;2,18682E-03;8,69957E-03;1,83236E-02
591;9,76036E-02;7,82656E-03;3,09563E-02;6,65654E-02;5,48047E-02;3,59162E-03;1,42797E-02;3,14214E-02;3,07693E-02;2,25652E-03;9,10956E-03;1,88790E-02
592;9,76149E-02;7,93789E-03;3,19409E-02;6,75552E-02;5,50288E-02;3,65460E-03;1,45815E-02;3,14751E-02;3,13896E-02;2,25035E-03;9,33035E-03;1,89163E-02
593;9,81303E-02;7,90381E-03;3,25071E-02;6,82177E-02;5,50841E-02;3,66039E-03;1,47155E-02;3,10927E-02;3,07450E-02;2,18937E-03;9,23920E-03;1,84222E-02
594;9,74649E-02;7,88297E-03;3,30265E-02;6,74175E-02;5,48761E-02;3,59000E-03;1,48070E-02;3,07103E-02;2,90994E-02;2,10367E-03;8,83191E-03;1,75149E-02
595;9,54285E-02;7,69690E-03;3,32904E-02;6,67374E-02;5,40623E-02;3,60023E-03;1,47917E-02;3,03145E-02;2,66027E-02;1,89793E-03;8,05942E-03;1,59526E-02
596;9,45102E-02;7,65937E-03;3,32786E-02;6,64547E-02;5,30531E-02;3,51372E-03;1,49536E-02;3,01170E-02;2,34170E-02;1,65807E-03;7,35661E-03;1,41556E-02
597;9,26172E-02;7,63177E-03;3,29754E-02;6,46344E-02;5,24597E-02;3,47228E-03;1,47709E-02;2,95918E-02;2,05651E-02;1,45083E-03;6,31413E-03;1,23148E-02
598;9,14047E-02;7,43661E-03;3,31924E-02;6,41224E-02;5,14345E-02;3,43804E-03;1,47248E-02;2,93413E-02;1,77069E-02;1,27095E-03;5,53083E-03;1,05154E-02
599;9,00985E-02;7,40878E-03;3,29150E-02;6,31560E-02;5,11808E-02;3,39189E-03;1,48028E-02;2,87615E-02;1,49310E-02;1,05548E-03;4,70706E-03;8,81539E-03
600;8,83405E-02;7,29793E-03;3,28152E-02;6,20613E-02;5,07581E-02;3,31827E-03;1,47185E-02;2,87483E-02;1,24507E-02;8,98327E-04;4,03211E-03;7,46635E-03
601;8,69384E-02;7,05557E-03;3,29447E-02;6,17782E-02;5,00960E-02;3,31442E-03;1,48700E-02;2,82578E-02;1,06686E-02;7,42682E-04;3,41395E-03;6,35599E-03
602;8,65334E-02;7,08370E-03;3,31111E-02;6,10271E-02;4,96455E-02;3,30575E-03;1,49264E-02;2,82502E-02;8,80174E-03;6,38630E-04;2,85789E-03;5,40920E-03
603;8,58299E-02;7,01047E-03;3,31369E-02;6,04517E-02;4,93567E-02;3,28897E-03;1,49581E-02;2,80261E-02;7,51742E-03;5,22805E-04;2,42630E-03;4,52709E-03
604;8,54330E-02;6,97486E-03;3,29646E-02;5,98851E-02;4,92179E-02;3,26644E-03;1,49525E-02;2,78149E-02;6,34731E-03;4,58219E-04;2,08158E-03;3,82626E-03
605;8,47919E-02;6,94894E-03;3,32221E-02;5,96046E-02;4,90247E-02;3,26531E-03;1,51861E-02;2,79826E-02;5,36468E-03;3,91165E-04;1,83380E-03;3,19982E-03
606;8,48177E-02;7,00842E-03;3,35143E-02;5,95998E-02;4,88656E-02;3,25468E-03;1,52175E-02;2,78754E-02;4,56008E-03;3,33802E-04;1,52999E-03;2,69290E-03
607;8,46086E-02;6,91038E-03;3,37946E-02;5,93002E-02;4,92706E-02;3,27021E-03;1,54152E-02;2,77554E-02;3,94235E-03;2,71376E-04;1,30544E-03;2,31390E-03
608;8,42927E-02;7,05537E-03;3,38240E-02;5,96738E-02;4,86152E-02;3,26786E-03;1,55835E-02;2,76371E-02;3,51499E-03;2,40849E-04;1,13844E-03;2,05292E-03
609;8,41921E-02;6,93271E-03;3,39358E-02;5,91525E-02;4,86670E-02;3,25497E-03;1,57770E-02;2,79013E-02;2,83605E-03;1,93162E-04;1,03379E-03;1,74793E-03
610;8,46501E-02;6,88701E-03;3,38854E-02;5,93463E-02;4,86590E-02;3,25550E-03;1,57868E-02;2,80463E-02;2,72745E-03;1,90120E-04;8,96529E-04;1,62982E-03
611;8,40826E-02;7,00104E-03;3,43533E-02;5,88671E-02;4,89910E-02;3,27757E-03;1,58505E-02;2,78241E-02;2,40906E-03;1,72226E-04;8,18272E-04;1,44193E-03
612;8,46011E-02;6,90781E-03;3,46235E-02;5,94162E-02;4,81781E-02;3,28068E-03;1,61325E-02;2,80128E-02;2,22084E-03;1,66087E-04;7,65871E-04;1,28424E-03
613;8,43131E-02;7,01587E-03;3,47520E-02;5,91330E-02;4,90180E-02;3,29316E-03;1,61739E-02;2,81036E-02;2,15424E-03;1,52773E-04;7,44432E-04;1,25439E-03
614;8,43512E-02;6,95213E-03;3,48149E-02;5,91812E-02;4,89745E-02;3,29046E-03;1,62278E-02;2,80474E-02;2,17523E-03;1,48206E-04;7,50079E-04;1,27431E-03
615;8,44334E-02;7,00530E-03;3,53482E-02;5,92951E-02;4,90430E-02;3,28926E-03;1,63464E-02;2,82018E-02;2,03604E-03;1,45688E-04;7,51194E-04;1,27112E-03
616;8,45367E-02;6,92881E-03;3,53355E-02;5,99693E-02;4,90831E-02;3,30177E-03;1,64192E-02;2,80798E-02;2,04748E-03;1,58907E-04;6,92747E-04;1,26667E-03
617;8,41141E-02;6,92829E-03;3,57428E-02;5,92266E-02;4,93518E-02;3,25173E-03;1,65071E-02;2,82023E-02;2,13012E-03;1,52625E-04;7,59041E-04;1,28389E-03
618;8,49143E-02;6,94403E-03;3,57239E-02;5,97071E-02;4,95889E-02;3,31373E-03;1,66309E-02;2,83354E-02;2,24075E-03;1,61089E-04;8,13733E-04;1,37728E-03
619;8,48382E-02;6,95427E-03;3,59744E-02;5,99833E-02;4,91706E-02;3,27613E-03;1,67402E-02;2,84463E-02;2,41998E-03;1,71697E-04;8,58663E-04;1,47315E-03
620;8,49347E-02;7,01822E-03;3,61715E-02;5,93458E-02;4,91955E-02;3,25438E-03;1,68293E-02;2,84358E-02;2,51002E-03;1,90344E-04;9,47851E-04;1,51908E-03
621;8,54722E-02;6,90963E-03;3,63569E-02;5,96158E-02;4,96414E-02;3,30890E-03;1,68838E-02;2,84701E-02;2,76897E-03;2,00650E-04;9,79271E-04;1,65525E-03
622;8,43612E-02;6,98173E-03;3,61790E-02;5,99037E-02;4,90623E-02;3,33615E-03;1,68269E-02;2,83449E-02;2,81479E-03;2,09427E-04;1,08167E-03;1,74042E-03
623;8,53158E-02;6,98475E-03;3,66181E-02;6,01219E-02;4,92397E-02;3,30594E-03;1,69768E-02;2,84441E-02;3,04986E-03;2,28986E-04;1,20396E-03;1,92807E-03
624;8,42313E-02;6,90566E-03;3,68365E-02;6,03035E-02;4,91992E-02;3,28870E-03;1,69559E-02;2,87428E-02;3,36227E-03;2,51787E-04;1,28687E-03;2,08360E-03
625;8,56503E-02;7,10745E-03;3,68307E-02;5,98029E-02;4,96335E-02;3,36664E-03;1,71359E-02;2,86346E-02;3,84152E-03;2,77061E-04;1,41415E-03;2,36766E-03
626;8,45172E-02;7,03060E-03;3,68999E-02;6,01146E-02;4,95698E-02;3,33659E-03;1,70699E-02;2,87330E-02;4,17168E-03;3,03857E-04;1,58868E-03;2,58597E-03
627;8,44437E-02;7,07589E-03;3,70470E-02;6,02124E-02;4,90776E-02;3,36042E-03;1,72763E-02;2,85411E-02;4,48512E-03;3,55309E-04;1,73082E-03;2,82233E-03
628;8,45184E-02;7,05660E-03;3,71201E-02;6,00716E-02;4,96471E-02;3,35063E-03;1,72966E-02;2,88254E-02;4,94698E-03;3,78565E-04;1,92367E-03;3,12969E-03
629;8,51936E-02;7,07878E-03;3,71729E-02;6,05390E-02;4,92143E-02;3,34160E-03;1,73646E-02;2,86074E-02;5,63046E-03;4,08993E-04;2,08351E-03;3,45206E-03
630;8,49288E-02;7,01643E-03;3,73819E-02;6,03285E-02;4,96576E-02;3,31230E-03;1,73927E-02;2,87682E-02;6,16002E-03;4,53303E-04;2,32890E-03;3,77700E-03
631;8,48612E-02;7,12967E-03;3,74189E-02;6,04991E-02;4,93588E-02;3,37652E-03;1,74414E-02;2,88556E-02;6,72581E-03;5,15353E-04;2,62440E-03;4,22500E-03
632;8,40823E-02;7,18642E-03;3,74221E-02;5,98916E-02;4,95208E-02;3,36483E-03;1,74076E-02;2,87946E-02;7,37079E-03;5,71098E-04;2,85488E-03;4,71692E-03
633;8,46442E-02;6,94608E-03;3,77000E-02;5,98811E-02;4,96255E-02;3,35716E-03;1,75924E-02;2,87077E-02;8,04224E-03;6,21157E-04;3,13101E-03;5,16529E-03
634;8,41465E-02;7,17896E-03;3,74826E-02;6,02421E-02;4,94899E-02;3,39261E-03;1,75533E-02;2,86194E-02;8,90212E-03;7,15213E-04;3,48074E-03;5,74051E-03
635;8,39789E-02;7,15770E-03;3,77059E-02;6,01460E-02;4,89295E-02;3,39047E-03;1,76158E-02;2,86240E-02;9,87679E-03;7,85166E-04;3,87883E-03;6,19954E-03
636;8,39705E-02;7,12431E-03;3,76810E-02;6,02098E-02;4,89055E-02;3,44732E-03;1,75793E-02;2,85529E-02;1,08254E-02;8,60987E-04;4,30391E-03;6,85955E-03
637;8,39433E-02;7,19547E-03;3,76296E-02;6,05931E-02;4,86416E-02;3,45433E-03;1,76089E-02;2,87171E-02;1,21393E-02;9,56596E-04;4,82435E-03;7,63480E-03
638;8,32101E-02;7,18795E-03;3,80044E-02;5,97119E-02;4,90430E-02;3,44332E-03;1,76727E-02;2,84570E-02;1,31451E-02;1,04340E-03;5,25430E-03;8,32334E-03
639;8,32903E-02;7,23799E-03;3,77685E-02;5,95968E-02;4,91479E-02;3,49148E-03;1,77106E-02;2,86409E-02;1,45573E-02;1,17543E-03;5,80496E-03;9,34184E-03
640;8,30395E-02;7,18762E-03;3,76045E-02;5,99198E-02;4,87949E-02;3,51322E-03;1,78081E-02;2,85961E-02;1,58959E-02;1,28013E-03;6,45216E-03;1,03604E-02
641;8,22957E-02;7,26598E-03;3,75887E-02;5,93798E-02;4,92439E-02;3,49190E-03;1,76924E-02;2,83745E-02;1,78297E-02;1,42823E-03;7,11874E-03;1,13534E-02
642;8,18446E-02;7,31210E-03;3,76605E-02;5,93176E-02;4,82866E-02;3,51319E-03;1,76874E-02;2,83980E-02;1,95738E-02;1,62708E-03;7,89272E-03;1,25440E-02
643;8,29268E-02;7,41616E-03;3,79179E-02;5,92858E-02;4,91284E-02;3,54065E-03;1,78299E-02;2,84283E-02;2,14216E-02;1,76600E-03;8,69441E-03;1,36705E-02
644;8,23457E-02;7,37898E-03;3,77072E-02;5,94712E-02;4,87158E-02;3,54700E-03;1,77687E-02;2,84767E-02;2,37824E-02;1,89173E-03;9,53747E-03;1,53186E-02
645;8,17716E-02;7,47035E-03;3,79658E-02;5,86302E-02;4,85196E-02;3,54017E-03;1,77726E-02;2,83598E-02;2,62265E-02;2,18136E-03;1,06240E-02;1,68099E-02
646;8,14770E-02;7,48568E-03;3,76812E-02;5,84257E-02;4,81913E-02;3,59129E-03;1,77648E-02;2,84866E-02;2,84770E-02;2,40269E-03;1,17378E-02;1,84611E-02
647;8,13401E-02;7,44241E-03;3,78407E-02;5,91193E-02;4,82617E-02;3,57901E-03;1,77420E-02;2,83199E-02;3,13443E-02;2,64657E-03;1,29186E-02;2,03315E-02
648;8,08050E-02;7,57743E-03;3,77141E-02;5,82330E-02;4,85062E-02;3,64054E-03;1,78259E-02;2,84122E-02;3,45454E-02;2,94308E-03;1,41373E-02;2,24766E-02
649;8,06883E-02;7,60032E-03;3,79395E-02;5,83985E-02;4,81250E-02;3,63326E-03;1,78387E-02;2,82103E-02;3,76944E-02;3,22235E-03;1,56344E-02;2,42905E-02
650;8,02048E-02;7,67692E-03;3,76975E-02;5,85943E-02;4,80792E-02;3,69637E-03;1,79342E-02;2,81320E-02;4,11055E-02;3,51852E-03;1,68875E-02;2,63130E-02
651;8,02111E-02;7,74292E-03;3,76042E-02;5,86217E-02;4,78177E-02;3,70682E-03;1,78639E-02;2,83044E-02;4,46393E-02;3,89765E-03;1,83096E-02;2,87197E-02
652;8,00124E-02;7,77294E-03;3,78230E-02;5,86093E-02;4,84241E-02;3,75665E-03;1,78635E-02;2,82630E-02;4,76714E-02;4,21471E-03;1,98672E-02;3,08758E-02
653;8,02291E-02;7,65821E-03;3,80333E-02;5,82654E-02;4,78550E-02;3,80640E-03;1,80139E-02;2,83410E-02;5,10048E-02;4,55083E-03;2,11266E-02;3,29726E-02
654;8,00506E-02;7,84193E-03;3,78947E-02;5,80802E-02;4,82698E-02;3,84110E-03;1,80845E-02;2,82450E-02;5,33261E-02;4,87703E-03;2,23728E-02;3,44496E-02
655;7,95184E-02;7,84904E-03;3,78433E-02;5,79873E-02;4,78494E-02;3,84421E-03;1,79769E-02;2,82289E-02;5,56528E-02;5,03346E-03;2,32292E-02;3,54877E-02
656;7,84969E-02;7,99762E-03;3,81580E-02;5,76520E-02;4,82047E-02;3,88969E-03;1,80786E-02;2,80447E-02;5,59849E-02;5,12438E-03;2,38185E-02;3,59706E-02
657;7,86392E-02;7,92373E-03;3,80973E-02;5,77613E-02;4,79523E-02;3,89388E-03;1,81102E-02;2,80531E-02;5,59796E-02;5,23108E-03;2,39598E-02;3,59621E-02
658;7,80674E-02;7,82564E-03;3,79131E-02;5,73159E-02;4,74691E-02;3,86628E-03;1,80592E-02;2,81455E-02;5,49039E-02;5,18623E-03;2,34687E-02;3,50622E-02
659;7,71171E-02;7,96489E-03;3,79546E-02;5,68643E-02;4,75348E-02;3,96962E-03;1,79361E-02;2,80009E-02;5,22675E-02;4,92107E-03;2,25007E-02;3,32832E-02
660;7,62974E-02;7,97447E-03;3,74942E-02;5,60152E-02;4,75587E-02;3,92631E-03;1,79413E-02;2,79282E-02;4,86742E-02;4,64200E-03;2,10716E-02;3,06331E-02
661;7,58013E-02;7,92860E-03;3,73401E-02;5,55417E-02;4,68194E-02;3,98234E-03;1,79776E-02;2,76752E-02;4,40752E-02;4,24632E-03;1,94766E-02;2,80486E-02
662;7,45435E-02;7,94938E-03;3,66508E-02;5,53285E-02;4,69675E-02;3,98328E-03;1,78747E-02;2,74849E-02;3,91874E-02;3,83765E-03;1,74125E-02;2,49151E-02
663;7,39223E-02;7,96427E-03;3,63852E-02;5,46382E-02;4,66736E-02;3,97326E-03;1,77573E-02;2,73410E-02;3,46430E-02;3,41711E-03;1,53893E-02;2,17448E-02
664;7,39787E-02;8,01636E-03;3,63427E-02;5,41804E-02;4,60519E-02;4,01569E-03;1,76477E-02;2,72445E-02;2,98343E-02;2,97991E-03;1,35211E-02;1,90196E-02
665;7,26451E-02;7,93806E-03;3,60175E-02;5,35882E-02;4,60661E-02;4,02813E-03;1,76702E-02;2,71187E-02;2,58719E-02;2,60677E-03;1,16225E-02;1,63628E-02
666;7,19053E-02;7,98698E-03;3,57988E-02;5,33904E-02;4,59656E-02;4,03785E-03;1,77990E-02;2,71497E-02;2,21797E-02;2,25257E-03;9,90764E-03;1,39006E-02
667;7,17399E-02;8,00264E-03;3,57923E-02;5,19655E-02;4,55624E-02;4,08123E-03;1,77738E-02;2,70487E-02;1,88568E-02;1,94091E-03;8,60362E-03;1,19584E-02
668;7,12231E-02;8,02758E-03;3,54375E-02;5,24312E-02;4,55711E-02;4,15905E-03;1,77280E-02;2,69420E-02;1,60203E-02;1,66043E-03;7,28411E-03;1,00680E-02
669;7,06829E-02;7,96218E-03;3,52181E-02;5,16045E-02;4,58470E-02;4,16505E-03;1,77939E-02;2,71141E-02;1,38463E-02;1,41921E-03;6,19872E-03;8,62533E-03
