;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Name;D65_white;D65_blue;D65_vert;D65_jaune;D50_white;D50_blue;D50_vert;D50_jaune;L1_white;L1_blue;L1_vert;L1_yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
526;3,42221E-02;2,94399E-03;9,24347E-03;1,26993E-02;2,75875E-02;2,75398E-03;9,08345E-03;1,22862E-02;5,98972E-03;5,36042E-04;1,72297E-03;2,38975E-03
527;3,41529E-02;2,90501E-03;9,26977E-03;1,28467E-02;2,78152E-02;2,73148E-03;9,24970E-03;1,25717E-02;6,20941E-03;5,31124E-04;1,76883E-03;2,48990E-03
528;3,42696E-02;2,86431E-03;9,36036E-03;1,31222E-02;2,80175E-02;2,70641E-03;9,36777E-03;1,28279E-02;6,15691E-03;5,22947E-04;1,82549E-03;2,49689E-03
529;3,41965E-02;2,80154E-03;9,42189E-03;1,31718E-02;2,81368E-02;2,67956E-03;9,44272E-03;1,30245E-02;6,20378E-03;5,32744E-04;1,84976E-03;2,67768E-03
530;3,40392E-02;2,76490E-03;9,44887E-03;1,34211E-02;2,82090E-02;2,63968E-03;9,51118E-03;1,32304E-02;6,14054E-03;5,20399E-04;1,83316E-03;2,63811E-03
531;3,40844E-02;2,72859E-03;9,49826E-03;1,35555E-02;2,82745E-02;2,61885E-03;9,60803E-03;1,34489E-02;6,35207E-03;5,24616E-04;1,89295E-03;2,74228E-03
532;3,40574E-02;2,69472E-03;9,50458E-03;1,36571E-02;2,83177E-02;2,61090E-03;9,68736E-03;1,35905E-02;6,37502E-03;5,13732E-04;1,87662E-03;2,77013E-03
533;3,39951E-02;2,66628E-03;9,56261E-03;1,37582E-02;2,84839E-02;2,58776E-03;9,73966E-03;1,38152E-02;6,12969E-03;5,00750E-04;1,86769E-03;2,73324E-03
534;3,38130E-02;2,59218E-03;9,58278E-03;1,39256E-02;2,81801E-02;2,53088E-03;9,78805E-03;1,38492E-02;6,18489E-03;4,93011E-04;1,84804E-03;2,76058E-03
535;3,37963E-02;2,56335E-03;9,58236E-03;1,39272E-02;2,84007E-02;2,51501E-03;9,83624E-03;1,40051E-02;5,91788E-03;4,76299E-04;1,81492E-03;2,68597E-03
536;3,37400E-02;2,52447E-03;9,61293E-03;1,40228E-02;2,84325E-02;2,51050E-03;9,83823E-03;1,41328E-02;5,88378E-03;4,59326E-04;1,76299E-03;2,66939E-03
537;3,35448E-02;2,50261E-03;9,56819E-03;1,40601E-02;2,83593E-02;2,47518E-03;9,85014E-03;1,42218E-02;5,70494E-03;4,48226E-04;1,74059E-03;2,62930E-03
538;3,32645E-02;2,47792E-03;9,57915E-03;1,40853E-02;2,82764E-02;2,45307E-03;9,83284E-03;1,43084E-02;5,58404E-03;4,23374E-04;1,66124E-03;2,55742E-03
539;3,33529E-02;2,46534E-03;9,53871E-03;1,41258E-02;2,83084E-02;2,41479E-03;9,88129E-03;1,43842E-02;5,33812E-03;4,05580E-04;1,65346E-03;2,44345E-03
540;3,31180E-02;2,41783E-03;9,56482E-03;1,41775E-02;2,82317E-02;2,40386E-03;9,90654E-03;1,44350E-02;5,05337E-03;3,93576E-04;1,56121E-03;2,32325E-03
541;3,30822E-02;2,38161E-03;9,51264E-03;1,42290E-02;2,82267E-02;2,36075E-03;9,85060E-03;1,44231E-02;4,91008E-03;3,66185E-04;1,49577E-03;2,32760E-03
542;3,28649E-02;2,35717E-03;9,47925E-03;1,42424E-02;2,79852E-02;2,35785E-03;9,83833E-03;1,45150E-02;4,67643E-03;3,55398E-04;1,41751E-03;2,20087E-03
543;3,26557E-02;2,34172E-03;9,48082E-03;1,42039E-02;2,79874E-02;2,32262E-03;9,85959E-03;1,45311E-02;4,52858E-03;3,30521E-04;1,36469E-03;2,12861E-03
544;3,25717E-02;2,29356E-03;9,37455E-03;1,42970E-02;2,77917E-02;2,31895E-03;9,78318E-03;1,45287E-02;4,25439E-03;3,14330E-04;1,30901E-03;1,99195E-03
545;3,24623E-02;2,26929E-03;9,39369E-03;1,42761E-02;2,77685E-02;2,28728E-03;9,74059E-03;1,45506E-02;4,10023E-03;3,01642E-04;1,21048E-03;1,93219E-03
546;3,21440E-02;2,25691E-03;9,31539E-03;1,42482E-02;2,76436E-02;2,25564E-03;9,71691E-03;1,45842E-02;3,83181E-03;2,87926E-04;1,14835E-03;1,82729E-03
547;3,20429E-02;2,22976E-03;9,25081E-03;1,42469E-02;2,75294E-02;2,23232E-03;9,72326E-03;1,45733E-02;3,62453E-03;2,65713E-04;1,10988E-03;1,76020E-03
548;3,19348E-02;2,19707E-03;9,25906E-03;1,43094E-02;2,75204E-02;2,22276E-03;9,68879E-03;1,46626E-02;3,44986E-03;2,47796E-04;1,02755E-03;1,66334E-03
549;3,18222E-02;2,19081E-03;9,21680E-03;1,42709E-02;2,73364E-02;2,18807E-03;9,65285E-03;1,47497E-02;3,29579E-03;2,37864E-04;9,87819E-04;1,50578E-03
550;3,17058E-02;2,16403E-03;9,20741E-03;1,43565E-02;2,73094E-02;2,18737E-03;9,65599E-03;1,47275E-02;3,08794E-03;2,20152E-04;9,19508E-04;1,47626E-03
551;3,16506E-02;2,16169E-03;9,18615E-03;1,43526E-02;2,73953E-02;2,16030E-03;9,62474E-03;1,47526E-02;2,96147E-03;2,15445E-04;8,82044E-04;1,48054E-03
552;3,15468E-02;2,12361E-03;9,09949E-03;1,43231E-02;2,73260E-02;2,15004E-03;9,55427E-03;1,47097E-02;2,82887E-03;1,98809E-04;8,20117E-04;1,34519E-03
553;3,13420E-02;2,11096E-03;9,05486E-03;1,43231E-02;2,71873E-02;2,13681E-03;9,51268E-03;1,48115E-02;2,52447E-03;1,83320E-04;7,96520E-04;1,35546E-03
554;3,11661E-02;2,09869E-03;9,01687E-03;1,43699E-02;2,71511E-02;2,11761E-03;9,45608E-03;1,48487E-02;2,52748E-03;1,73801E-04;7,43595E-04;1,21416E-03
555;3,13412E-02;2,07680E-03;8,99309E-03;1,44120E-02;2,71484E-02;2,09105E-03;9,46800E-03;1,48351E-02;2,38008E-03;1,64964E-04;7,01713E-04;1,16100E-03
556;3,11018E-02;2,05971E-03;8,92685E-03;1,44350E-02;2,69609E-02;2,07624E-03;9,41112E-03;1,48127E-02;2,22576E-03;1,54138E-04;6,62168E-04;1,10000E-03
557;3,11467E-02;2,03831E-03;8,87947E-03;1,44978E-02;2,69635E-02;2,07609E-03;9,39402E-03;1,48667E-02;2,16800E-03;1,47039E-04;6,11723E-04;1,02700E-03
558;3,10758E-02;2,03593E-03;8,86833E-03;1,43975E-02;2,70876E-02;2,04473E-03;9,34261E-03;1,48741E-02;2,10123E-03;1,39511E-04;6,14991E-04;1,02827E-03
559;3,10430E-02;1,98957E-03;8,83248E-03;1,45050E-02;2,69951E-02;2,03259E-03;9,30518E-03;1,49421E-02;2,01287E-03;1,42673E-04;5,86074E-04;9,81546E-04
560;3,08648E-02;1,98126E-03;8,78709E-03;1,45404E-02;2,70172E-02;2,02519E-03;9,24478E-03;1,49643E-02;1,93288E-03;1,42415E-04;5,98720E-04;1,03011E-03
561;3,11040E-02;1,97979E-03;8,77347E-03;1,45969E-02;2,69312E-02;2,01645E-03;9,25754E-03;1,50585E-02;1,96930E-03;1,40994E-04;5,81893E-04;1,03686E-03
562;3,10588E-02;1,97670E-03;8,74664E-03;1,45993E-02;2,68655E-02;2,02149E-03;9,24041E-03;1,50691E-02;2,08323E-03;1,47049E-04;6,23755E-04;1,02872E-03
563;3,10371E-02;1,95308E-03;8,72163E-03;1,46033E-02;2,67493E-02;1,99360E-03;9,17168E-03;1,51622E-02;2,15589E-03;1,47785E-04;6,55230E-04;1,15288E-03
564;3,10097E-02;1,97807E-03;8,68813E-03;1,46762E-02;2,69694E-02;1,98569E-03;9,14347E-03;1,51834E-02;2,33863E-03;1,61966E-04;6,85825E-04;1,19235E-03
565;3,09729E-02;1,94099E-03;8,64939E-03;1,46757E-02;2,67469E-02;1,97276E-03;9,08265E-03;1,51726E-02;2,48474E-03;1,65710E-04;7,48196E-04;1,35051E-03
566;3,09525E-02;1,94518E-03;8,64225E-03;1,46973E-02;2,69290E-02;1,97409E-03;9,12229E-03;1,52698E-02;2,70199E-03;1,78571E-04;8,24056E-04;1,46845E-03
567;3,11104E-02;1,93272E-03;8,63289E-03;1,48067E-02;2,70422E-02;1,97331E-03;9,04974E-03;1,53346E-02;2,95379E-03;2,02222E-04;9,03635E-04;1,51141E-03
568;3,10226E-02;1,93987E-03;8,55968E-03;1,48818E-02;2,71052E-02;1,95338E-03;9,02287E-03;1,54196E-02;3,32668E-03;2,20917E-04;9,81789E-04;1,67857E-03
569;3,12592E-02;1,92643E-03;8,55521E-03;1,49404E-02;2,71795E-02;1,96271E-03;9,05911E-03;1,54433E-02;3,48080E-03;2,31302E-04;1,09151E-03;1,95878E-03
570;3,11967E-02;1,90635E-03;8,55656E-03;1,50292E-02;2,72116E-02;1,96494E-03;8,98589E-03;1,55283E-02;3,95940E-03;2,66615E-04;1,20956E-03;2,08226E-03
571;3,14579E-02;1,94646E-03;8,51435E-03;1,51810E-02;2,73742E-02;1,97586E-03;9,04152E-03;1,57103E-02;4,33658E-03;2,82083E-04;1,35310E-03;2,32509E-03
572;3,15606E-02;1,92500E-03;8,55055E-03;1,51455E-02;2,74426E-02;1,96328E-03;8,99850E-03;1,58038E-02;4,95704E-03;3,28966E-04;1,47449E-03;2,68668E-03
573;3,16460E-02;1,94499E-03;8,55102E-03;1,53144E-02;2,76733E-02;1,98231E-03;8,97979E-03;1,58843E-02;5,51777E-03;3,71616E-04;1,66594E-03;2,91158E-03
574;3,16457E-02;1,94245E-03;8,52402E-03;1,54341E-02;2,77282E-02;2,01037E-03;9,02168E-03;1,59935E-02;6,10219E-03;4,07491E-04;1,83715E-03;3,29261E-03
575;3,20017E-02;1,96384E-03;8,53770E-03;1,55593E-02;2,79427E-02;1,99192E-03;9,00120E-03;1,61086E-02;6,82568E-03;4,54496E-04;2,03245E-03;3,66603E-03
576;3,23221E-02;1,99960E-03;8,56706E-03;1,58022E-02;2,80658E-02;2,00909E-03;9,04808E-03;1,63132E-02;7,55264E-03;4,93999E-04;2,27961E-03;4,14840E-03
577;3,25982E-02;2,00286E-03;8,58161E-03;1,59355E-02;2,84125E-02;2,04851E-03;9,06174E-03;1,64648E-02;8,57535E-03;5,67532E-04;2,55832E-03;4,68748E-03
578;3,30400E-02;2,02125E-03;8,64956E-03;1,61518E-02;2,87890E-02;2,05370E-03;9,12997E-03;1,67550E-02;9,54448E-03;6,23411E-04;2,81826E-03;5,18858E-03
579;3,33130E-02;2,04611E-03;8,70053E-03;1,63882E-02;2,90105E-02;2,08596E-03;9,16946E-03;1,69638E-02;1,06641E-02;7,18149E-04;3,16046E-03;5,92136E-03
580;3,37738E-02;2,07426E-03;8,72785E-03;1,66281E-02;2,93436E-02;2,11603E-03;9,21934E-03;1,71902E-02;1,20243E-02;7,87974E-04;3,48710E-03;6,61169E-03
581;3,43177E-02;2,10482E-03;8,82658E-03;1,69182E-02;2,98256E-02;2,13596E-03;9,26776E-03;1,74800E-02;1,33076E-02;9,01066E-04;3,88838E-03;7,34857E-03
582;3,47487E-02;2,15128E-03;8,87392E-03;1,71778E-02;3,02498E-02;2,18967E-03;9,36257E-03;1,77066E-02;1,51439E-02;9,79731E-04;4,33247E-03;8,37533E-03
583;3,53650E-02;2,16324E-03;8,93371E-03;1,74509E-02;3,07313E-02;2,21372E-03;9,41193E-03;1,81283E-02;1,68156E-02;1,12534E-03;4,83016E-03;9,20833E-03
584;3,58357E-02;2,22115E-03;9,02734E-03;1,78801E-02;3,12581E-02;2,25473E-03;9,50806E-03;1,84693E-02;1,88103E-02;1,23987E-03;5,34939E-03;1,04031E-02
585;3,66488E-02;2,25851E-03;9,14154E-03;1,82804E-02;3,18819E-02;2,28479E-03;9,59457E-03;1,88365E-02;2,08390E-02;1,39245E-03;5,86015E-03;1,15818E-02
586;3,73711E-02;2,29056E-03;9,20584E-03;1,84843E-02;3,23779E-02;2,35584E-03;9,68986E-03;1,91250E-02;2,32588E-02;1,53610E-03;6,51411E-03;1,28990E-02
587;3,78115E-02;2,34135E-03;9,27717E-03;1,88991E-02;3,29292E-02;2,39234E-03;9,77780E-03;1,94718E-02;2,57818E-02;1,73627E-03;7,11055E-03;1,43997E-02
588;3,85289E-02;2,38398E-03;9,36946E-03;1,91664E-02;3,34011E-02;2,40881E-03;9,86889E-03;1,98013E-02;2,83474E-02;1,89347E-03;7,83693E-03;1,58796E-02
589;3,87426E-02;2,43121E-03;9,35486E-03;1,94154E-02;3,39129E-02;2,45255E-03;9,86326E-03;2,01071E-02;3,09507E-02;2,07690E-03;8,43682E-03;1,73501E-02
590;3,90125E-02;2,43581E-03;9,31322E-03;1,95700E-02;3,40946E-02;2,48699E-03;9,84859E-03;2,02661E-02;3,39524E-02;2,26044E-03;9,14485E-03;1,89154E-02
591;3,89731E-02;2,44704E-03;9,25074E-03;1,96621E-02;3,40803E-02;2,49267E-03;9,74292E-03;2,03256E-02;3,65233E-02;2,43975E-03;9,70965E-03;2,04988E-02
592;3,87822E-02;2,43227E-03;9,08497E-03;1,95558E-02;3,38731E-02;2,47833E-03;9,59205E-03;2,02804E-02;3,90084E-02;2,62525E-03;1,03265E-02;2,18185E-02
593;3,82023E-02;2,39124E-03;8,89024E-03;1,92099E-02;3,34071E-02;2,47049E-03;9,44647E-03;1,99994E-02;4,07227E-02;2,78776E-03;1,07154E-02;2,29035E-02
594;3,74393E-02;2,33902E-03;8,63600E-03;1,89459E-02;3,28832E-02;2,40503E-03;9,17144E-03;1,97093E-02;4,20330E-02;2,85503E-03;1,10256E-02;2,38042E-02
595;3,67810E-02;2,31555E-03;8,40480E-03;1,86487E-02;3,24380E-02;2,38620E-03;8,88532E-03;1,94060E-02;4,22393E-02;2,88200E-03;1,09445E-02;2,37485E-02
596;3,60917E-02;2,28454E-03;8,17295E-03;1,83064E-02;3,17233E-02;2,33271E-03;8,69847E-03;1,90596E-02;4,12660E-02;2,83009E-03;1,05778E-02;2,35019E-02
597;3,55954E-02;2,23205E-03;7,97293E-03;1,80384E-02;3,12710E-02;2,32260E-03;8,43448E-03;1,87678E-02;3,91084E-02;2,66901E-03;9,97938E-03;2,23013E-02
598;3,49772E-02;2,21955E-03;7,75757E-03;1,78244E-02;3,08930E-02;2,26771E-03;8,27048E-03;1,85335E-02;3,65076E-02;2,54770E-03;9,20951E-03;2,07513E-02
599;3,47289E-02;2,19360E-03;7,62446E-03;1,76707E-02;3,06034E-02;2,23696E-03;8,11078E-03;1,83518E-02;3,26624E-02;2,26612E-03;8,30632E-03;1,86765E-02
600;3,43451E-02;2,18047E-03;7,47381E-03;1,74769E-02;3,03073E-02;2,21941E-03;7,95291E-03;1,82276E-02;2,89243E-02;2,01321E-03;7,25276E-03;1,65955E-02
601;3,42269E-02;2,14139E-03;7,36135E-03;1,74321E-02;3,01290E-02;2,20023E-03;7,80392E-03;1,80799E-02;2,51907E-02;1,75746E-03;6,25868E-03;1,45071E-02
602;3,39664E-02;2,14380E-03;7,24478E-03;1,73538E-02;2,98428E-02;2,19534E-03;7,69547E-03;1,80048E-02;2,16370E-02;1,51203E-03;5,33875E-03;1,25934E-02
603;3,39414E-02;2,14409E-03;7,14867E-03;1,72772E-02;2,97733E-02;2,21041E-03;7,55932E-03;1,79304E-02;1,85787E-02;1,31057E-03;4,52732E-03;1,06603E-02
604;3,38049E-02;2,13216E-03;7,05898E-03;1,72336E-02;2,97105E-02;2,18591E-03;7,49748E-03;1,79523E-02;1,57404E-02;1,11827E-03;3,83206E-03;8,97760E-03
605;3,38539E-02;2,11711E-03;6,99352E-03;1,72969E-02;2,96851E-02;2,17170E-03;7,47594E-03;1,78793E-02;1,34461E-02;9,54576E-04;3,21638E-03;7,79450E-03
606;3,37813E-02;2,13420E-03;6,93368E-03;1,72343E-02;2,97132E-02;2,16820E-03;7,39239E-03;1,78837E-02;1,14115E-02;8,01194E-04;2,71197E-03;6,52741E-03
607;3,37666E-02;2,12282E-03;6,90850E-03;1,72628E-02;2,97726E-02;2,18523E-03;7,32991E-03;1,79047E-02;9,69756E-03;6,99744E-04;2,31365E-03;5,60994E-03
608;3,40171E-02;2,13955E-03;6,83944E-03;1,73301E-02;2,97347E-02;2,19140E-03;7,27167E-03;1,79802E-02;8,29851E-03;5,90461E-04;1,93535E-03;4,68924E-03
609;3,39373E-02;2,13857E-03;6,76532E-03;1,72938E-02;2,98233E-02;2,19742E-03;7,22705E-03;1,79414E-02;7,16830E-03;5,10996E-04;1,66144E-03;4,12130E-03
610;3,40462E-02;2,11781E-03;6,76024E-03;1,73355E-02;2,97564E-02;2,18930E-03;7,21276E-03;1,80649E-02;6,24421E-03;4,47422E-04;1,42035E-03;3,67643E-03
611;3,39704E-02;2,13226E-03;6,71392E-03;1,73437E-02;2,98988E-02;2,20238E-03;7,12272E-03;1,80315E-02;5,47651E-03;3,88711E-04;1,27198E-03;3,28828E-03
612;3,41559E-02;2,14711E-03;6,72179E-03;1,74138E-02;2,98814E-02;2,18709E-03;7,12710E-03;1,82003E-02;4,94139E-03;3,56903E-04;1,12066E-03;2,89497E-03
613;3,41574E-02;2,12445E-03;6,66584E-03;1,75062E-02;2,98852E-02;2,19089E-03;7,09893E-03;1,82182E-02;4,47352E-03;3,31309E-04;1,00609E-03;2,59348E-03
614;3,40844E-02;2,13146E-03;6,66005E-03;1,75814E-02;2,98206E-02;2,19984E-03;7,06155E-03;1,82534E-02;4,33385E-03;3,19049E-04;9,35264E-04;2,42509E-03
615;3,43260E-02;2,13618E-03;6,66077E-03;1,75432E-02;3,01055E-02;2,18284E-03;7,06695E-03;1,82101E-02;3,99462E-03;2,91725E-04;8,81779E-04;2,32075E-03
616;3,42952E-02;2,13972E-03;6,66589E-03;1,76036E-02;3,01317E-02;2,23132E-03;6,99205E-03;1,82777E-02;4,01510E-03;3,01396E-04;8,65458E-04;2,32395E-03
617;3,44846E-02;2,14016E-03;6,59303E-03;1,76809E-02;3,01378E-02;2,19912E-03;6,98809E-03;1,83608E-02;3,92643E-03;3,02591E-04;8,51338E-04;2,34448E-03
618;3,43518E-02;2,13379E-03;6,57809E-03;1,76738E-02;3,01132E-02;2,20609E-03;6,98938E-03;1,83991E-02;3,99749E-03;3,05934E-04;8,50050E-04;2,40180E-03
619;3,42679E-02;2,13956E-03;6,54133E-03;1,77341E-02;3,00477E-02;2,22116E-03;6,98935E-03;1,84977E-02;4,15791E-03;3,17315E-04;8,92413E-04;2,44966E-03
620;3,45220E-02;2,15702E-03;6,55383E-03;1,77523E-02;3,03695E-02;2,21647E-03;6,95390E-03;1,85057E-02;4,35126E-03;3,24015E-04;9,20854E-04;2,48283E-03
621;3,44187E-02;2,14313E-03;6,54741E-03;1,77978E-02;3,03102E-02;2,23711E-03;6,95707E-03;1,85251E-02;4,65538E-03;3,50595E-04;9,71301E-04;2,69856E-03
622;3,43814E-02;2,14592E-03;6,52352E-03;1,77686E-02;3,03425E-02;2,21288E-03;6,90852E-03;1,85275E-02;4,94573E-03;3,78791E-04;1,02860E-03;2,91841E-03
623;3,44906E-02;2,15988E-03;6,50774E-03;1,78780E-02;3,02980E-02;2,21147E-03;6,90885E-03;1,86217E-02;5,29481E-03;4,06317E-04;1,11176E-03;3,20660E-03
624;3,45580E-02;2,15638E-03;6,52066E-03;1,79677E-02;3,02857E-02;2,20785E-03;6,90951E-03;1,85807E-02;5,73247E-03;4,51271E-04;1,20484E-03;3,40847E-03
625;3,45406E-02;2,16455E-03;6,46950E-03;1,78726E-02;3,04794E-02;2,22870E-03;6,90232E-03;1,86457E-02;6,27257E-03;4,85724E-04;1,32379E-03;3,76229E-03
626;3,45757E-02;2,14944E-03;6,49091E-03;1,79791E-02;3,05008E-02;2,23220E-03;6,89640E-03;1,87063E-02;6,87899E-03;5,36832E-04;1,42322E-03;4,06699E-03
627;3,45074E-02;2,17354E-03;6,44706E-03;1,80437E-02;3,03852E-02;2,22942E-03;6,88749E-03;1,87598E-02;7,56772E-03;5,82787E-04;1,54479E-03;4,48904E-03
628;3,45429E-02;2,16273E-03;6,44795E-03;1,80065E-02;3,03731E-02;2,22507E-03;6,84377E-03;1,87594E-02;8,27873E-03;6,42947E-04;1,71126E-03;4,86625E-03
629;3,45285E-02;2,18866E-03;6,42908E-03;1,81032E-02;3,05476E-02;2,25038E-03;6,86538E-03;1,88879E-02;9,13110E-03;7,17166E-04;1,88930E-03;5,43538E-03
630;3,43944E-02;2,17139E-03;6,44659E-03;1,80423E-02;3,04503E-02;2,24971E-03;6,82573E-03;1,87479E-02;1,01871E-02;7,77075E-04;2,06715E-03;6,04502E-03
631;3,45815E-02;2,19377E-03;6,39378E-03;1,80569E-02;3,03939E-02;2,25046E-03;6,85429E-03;1,87989E-02;1,11204E-02;8,58369E-04;2,29527E-03;6,60350E-03
632;3,45175E-02;2,20610E-03;6,40812E-03;1,80291E-02;3,03909E-02;2,26266E-03;6,81724E-03;1,88641E-02;1,22576E-02;9,56093E-04;2,50128E-03;7,31527E-03
633;3,44713E-02;2,20203E-03;6,37531E-03;1,80546E-02;3,03779E-02;2,27325E-03;6,80025E-03;1,88768E-02;1,35024E-02;1,06508E-03;2,77415E-03;8,10218E-03
634;3,43347E-02;2,20644E-03;6,37038E-03;1,81046E-02;3,03673E-02;2,27379E-03;6,79080E-03;1,89060E-02;1,48172E-02;1,17541E-03;3,02463E-03;8,99183E-03
635;3,42604E-02;2,20168E-03;6,29899E-03;1,80092E-02;3,00580E-02;2,28261E-03;6,75236E-03;1,87867E-02;1,64479E-02;1,30962E-03;3,31318E-03;9,80303E-03
636;3,41321E-02;2,21409E-03;6,30346E-03;1,80041E-02;3,02967E-02;2,29488E-03;6,74115E-03;1,88256E-02;1,79830E-02;1,44176E-03;3,63277E-03;1,08801E-02
637;3,39468E-02;2,22335E-03;6,28400E-03;1,80493E-02;3,02607E-02;2,30786E-03;6,73417E-03;1,87952E-02;1,99486E-02;1,60048E-03;4,02019E-03;1,18282E-02
638;3,38126E-02;2,24328E-03;6,24584E-03;1,79743E-02;3,00055E-02;2,29823E-03;6,70974E-03;1,87595E-02;2,17575E-02;1,79103E-03;4,41576E-03;1,31437E-02
639;3,38155E-02;2,22184E-03;6,26130E-03;1,79346E-02;2,98632E-02;2,32799E-03;6,67486E-03;1,88057E-02;2,40131E-02;1,96734E-03;4,88123E-03;1,46020E-02
640;3,37702E-02;2,25530E-03;6,21285E-03;1,78923E-02;3,00056E-02;2,33526E-03;6,68205E-03;1,87979E-02;2,64854E-02;2,19034E-03;5,32327E-03;1,60127E-02
641;3,34826E-02;2,26271E-03;6,18850E-03;1,78848E-02;2,98456E-02;2,35249E-03;6,65389E-03;1,88273E-02;2,91556E-02;2,43140E-03;5,87754E-03;1,76623E-02
642;3,33847E-02;2,27612E-03;6,14234E-03;1,77012E-02;2,98515E-02;2,34792E-03;6,60454E-03;1,87064E-02;3,19600E-02;2,67293E-03;6,47487E-03;1,93293E-02
643;3,33099E-02;2,27001E-03;6,12805E-03;1,77949E-02;2,97341E-02;2,37643E-03;6,58770E-03;1,87991E-02;3,50644E-02;2,95798E-03;7,06791E-03;2,11537E-02
644;3,31648E-02;2,28058E-03;6,07341E-03;1,76448E-02;2,96172E-02;2,36086E-03;6,58599E-03;1,86761E-02;3,86148E-02;3,31923E-03;7,75772E-03;2,35047E-02
645;3,29993E-02;2,29325E-03;6,05797E-03;1,76765E-02;2,94636E-02;2,38548E-03;6,52502E-03;1,86497E-02;4,24229E-02;3,65814E-03;8,53781E-03;2,58831E-02
646;3,28515E-02;2,29963E-03;6,03897E-03;1,76705E-02;2,96054E-02;2,41933E-03;6,49786E-03;1,86016E-02;4,64036E-02;4,06104E-03;9,28115E-03;2,84697E-02
647;3,27169E-02;2,32106E-03;6,00066E-03;1,76171E-02;2,94063E-02;2,41597E-03;6,47017E-03;1,85484E-02;5,11242E-02;4,47874E-03;1,02597E-02;3,12053E-02
648;3,24853E-02;2,32578E-03;5,95641E-03;1,74933E-02;2,93714E-02;2,44532E-03;6,43852E-03;1,85750E-02;5,56949E-02;4,91774E-03;1,11500E-02;3,40138E-02
649;3,23431E-02;2,33821E-03;5,92042E-03;1,75082E-02;2,92516E-02;2,43306E-03;6,44686E-03;1,84773E-02;6,08370E-02;5,43340E-03;1,21795E-02;3,72226E-02
650;3,22270E-02;2,34824E-03;5,89657E-03;1,73603E-02;2,91746E-02;2,46805E-03;6,42090E-03;1,85435E-02;6,58221E-02;5,95407E-03;1,32032E-02;4,05582E-02
651;3,21710E-02;2,36967E-03;5,86223E-03;1,73274E-02;2,90437E-02;2,49606E-03;6,43773E-03;1,84240E-02;7,10821E-02;6,49337E-03;1,42865E-02;4,37156E-02
652;3,18986E-02;2,35219E-03;5,84274E-03;1,72628E-02;2,90626E-02;2,52300E-03;6,41548E-03;1,84966E-02;7,64257E-02;7,01597E-03;1,52862E-02;4,70362E-02
653;3,16358E-02;2,39860E-03;5,82109E-03;1,71375E-02;2,89745E-02;2,52522E-03;6,38834E-03;1,84606E-02;8,15691E-02;7,56280E-03;1,64089E-02;5,04463E-02
654;3,15346E-02;2,38012E-03;5,78323E-03;1,70421E-02;2,90200E-02;2,56022E-03;6,36630E-03;1,84796E-02;8,63302E-02;8,05507E-03;1,73332E-02;5,32956E-02
655;3,12755E-02;2,40367E-03;5,72855E-03;1,69998E-02;2,88839E-02;2,58836E-03;6,34178E-03;1,83791E-02;8,95641E-02;8,41149E-03;1,81524E-02;5,54469E-02
656;3,10295E-02;2,39853E-03;5,66441E-03;1,68342E-02;2,86776E-02;2,57574E-03;6,30833E-03;1,82278E-02;9,19044E-02;8,74441E-03;1,85282E-02;5,70867E-02
657;3,07735E-02;2,40574E-03;5,65824E-03;1,67198E-02;2,85437E-02;2,60004E-03;6,31311E-03;1,83180E-02;9,31833E-02;8,87736E-03;1,90138E-02;5,76272E-02
658;3,04515E-02;2,40812E-03;5,58372E-03;1,65909E-02;2,83405E-02;2,61696E-03;6,24688E-03;1,81565E-02;9,24312E-02;8,85464E-03;1,88708E-02;5,78042E-02
659;3,00018E-02;2,42772E-03;5,53977E-03;1,63715E-02;2,81943E-02;2,61515E-03;6,27450E-03;1,80691E-02;8,97080E-02;8,64961E-03;1,84826E-02;5,61027E-02
660;2,95717E-02;2,38617E-03;5,48756E-03;1,61745E-02;2,80241E-02;2,62709E-03;6,20971E-03;1,79708E-02;8,55855E-02;8,17592E-03;1,76365E-02;5,31774E-02
661;2,94718E-02;2,39950E-03;5,42370E-03;1,60250E-02;2,78359E-02;2,64118E-03;6,22388E-03;1,78167E-02;7,97636E-02;7,67957E-03;1,65809E-02;4,97048E-02
662;2,88957E-02;2,39725E-03;5,37416E-03;1,58576E-02;2,78419E-02;2,66915E-03;6,20181E-03;1,78037E-02;7,25090E-02;7,01563E-03;1,51272E-02;4,51982E-02
663;2,87576E-02;2,39824E-03;5,34621E-03;1,56627E-02;2,76880E-02;2,66270E-03;6,14276E-03;1,76164E-02;6,47378E-02;6,31520E-03;1,37011E-02;4,05541E-02
664;2,83294E-02;2,42583E-03;5,27313E-03;1,54720E-02;2,75180E-02;2,70037E-03;6,16750E-03;1,76056E-02;5,71428E-02;5,60572E-03;1,22220E-02;3,58626E-02
665;2,80286E-02;2,40390E-03;5,24798E-03;1,53501E-02;2,73563E-02;2,71105E-03;6,14146E-03;1,74949E-02;4,98195E-02;4,94932E-03;1,06631E-02;3,09822E-02
